"challenge_id","sha256","filename","source_path","document_type_gold","source_dataset","historical_status","extraction_method","template_family","language","source_reference","annotation_status","notes"
"FC-INV-001","24bbd19f8e828986374a91e0543258e59f81a1ba4c33db81ae7bdd090c31edc5","invoice_Amy Hunt_37363.pdf","sample_invoices/invoice_Amy Hunt_37363.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; sparse zero-total invoice shell; selected from the fresh eligible invoice pool."
"FC-INV-002","a4230635c45d39dbf36691c6e0201e56f659b8631d8bf9f0363ba8ce1358f52f","invoice_Bryan Spruell_46338.pdf","sample_invoices/invoice_Bryan Spruell_46338.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 46338; selected from the fresh eligible invoice pool."
"FC-INV-003","74e87ffc74f29f3d2ec946278fec16f6c615f70543d730351b020b21ada339d2","invoice_Erin Smith_21664.pdf","sample_invoices/invoice_Erin Smith_21664.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 21664; selected from the fresh eligible invoice pool."
"FC-INV-004","8400e8e489d314947625a30459568c7a5fcda2ecd5a355fd5f9ebdbe6800803d","invoice_Doug O'Connell_18233.pdf","sample_invoices/invoice_Doug O'Connell_18233.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 18233; selected from the fresh eligible invoice pool."
"FC-INV-005","285d319f3358781c7e28b4ef7ac1bb9e5f503c3502e5db68e3cca0bfc616f491","invoice_Magdelene Morse_45798.pdf","sample_invoices/invoice_Magdelene Morse_45798.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 45798; selected from the fresh eligible invoice pool."
"FC-INV-006","130271eb597ea9d642533b0e634795df16ccf4f92890560c40de5f45e18bf240","invoice_Sean O'Donnell_10370.pdf","sample_invoices/invoice_Sean O'Donnell_10370.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 10370; selected from the fresh eligible invoice pool."
"FC-INV-007","198b9e7a54120fbc66850aa53dca386f831da6e2a4d2f70927df7d4a3900a804","invoice_Phillip Breyer_30193.pdf","sample_invoices/invoice_Phillip Breyer_30193.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 30193; selected from the fresh eligible invoice pool."
"FC-INV-008","e49e6672ca2859341f03717ca1bf8d633899ddc945fb1c8a004be41b0ce29b6c","invoice_Jason Klamczynski_21586.pdf","sample_invoices/invoice_Jason Klamczynski_21586.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 21586; selected from the fresh eligible invoice pool."
"FC-INV-009","4263debc7ec3bd9be80cb40cad92b06c77fddb99e94584ace55b6f386f40ee97","invoice_Kristina Nunn_19542.pdf","sample_invoices/invoice_Kristina Nunn_19542.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 19542; selected from the fresh eligible invoice pool."
"FC-INV-010","46810cc97ee37c6368b63b990eff2f59cb95ca366a79738d47aa673b97290c3d","invoice_Sarah Brown_4375.pdf","sample_invoices/invoice_Sarah Brown_4375.pdf","invoice","SuperStore synthetic invoices","FINAL_UNSEEN","native_pdf_text","superstore_synthetic_invoice","en","SuperStore 1000+ PDF Invoice collection","MANUAL_RENDERED_SOURCE_VERIFIED","Rendered title: INVOICE; distinct invoice 4375; selected from the fresh eligible invoice pool."
